soil_moisture,humidity,temperature,rainfall,soil_temperature,wind_speed,rain_forecast,nitrogen,phosphorus,potassium,ph,crop_type,crop_water_factor,irrigation_recommendation
52.78,85.82,34.74,7.88,26.47,28.57,1,82.32,49.8,23.1,7.7,wheat,0.9,No irrigation
32.01,48.59,28.05,11.83,21.91,13.77,1,87.73,64.17,55.01,5.9,wheat,0.9,Irrigate soon
60.85,41.27,24.2,31.43,29.1,11.02,1,64.22,22.82,45.76,7.7,banana,1.25,No irrigation
55.48,66.12,25.68,26.55,29.29,4.61,0,87.28,23.48,27.94,5.07,maize,1.0,No irrigation
69.12,62.79,35.37,18.22,33.29,18.12,1,69.44,24.64,57.64,5.02,banana,1.25,No irrigation
62.32,81.98,35.57,8.75,32.06,21.49,1,25.02,24.95,70.14,6.37,banana,1.25,No irrigation
40.56,57.18,31.18,12.69,31.33,14.39,1,103.06,42.87,73.32,7.23,cotton,1.1,Monitor
39.75,72.62,36.8,11.09,31.67,15.57,0,47.46,14.65,33.57,5.82,chickpea,0.75,Irrigate soon
64.12,25.64,23.02,15.32,22.29,7.99,1,60.76,42.56,42.03,5.62,cotton,1.1,No irrigation
36.42,73.89,38.92,0.78,33.21,18.12,1,20.59,31.11,63.98,7.56,banana,1.25,Irrigate soon
38.05,72.33,30.92,24.13,23.31,8.14,1,68.56,33.33,58.48,7.39,groundnut,0.85,Monitor
24.08,52.72,22.55,24.89,20.4,13.03,0,28.39,35.72,71.35,5.55,chickpea,0.75,Monitor
35.85,34.82,26.54,30.45,25.69,23.06,1,45.23,14.91,16.26,6.62,chickpea,0.75,No irrigation
27.33,24.8,39.15,1.61,20.47,8.92,0,82.13,24.31,45.78,5.34,maize,1.0,Irrigate now
40.58,37.94,27.38,24.24,34.46,22.11,0,116.47,16.49,16.67,5.94,groundnut,0.85,Monitor
64.94,46.27,38.83,7.93,28.88,25.26,0,30.19,56.35,70.27,6.8,rice,1.3,No irrigation
58.79,59.62,20.82,21.31,29.92,3.93,1,21.27,35.2,46.86,6.3,chickpea,0.75,No irrigation
49.96,78.01,34.15,17.42,31.01,29.03,1,81.59,65.18,65.35,6.39,banana,1.25,Monitor
55.21,38.79,37.03,33.23,21.3,26.69,0,95.05,44.19,58.43,6.01,cotton,1.1,No irrigation
61.8,32.73,24.24,31.91,25.11,26.65,1,75.58,41.0,27.42,5.72,cotton,1.1,No irrigation
41.87,73.07,33.81,25.84,27.36,24.2,0,49.42,34.26,30.81,6.99,chickpea,0.75,No irrigation
41.03,57.16,28.51,29.84,24.96,21.68,1,50.66,23.83,61.88,5.95,groundnut,0.85,No irrigation
44.47,73.35,23.7,8.66,27.26,22.29,1,118.05,59.96,34.26,6.08,chickpea,0.75,Monitor
15.78,57.39,25.49,38.97,28.3,21.53,0,83.79,55.17,21.67,5.04,chickpea,0.75,No irrigation
40.82,50.83,23.69,2.06,34.12,15.38,0,60.07,14.44,55.91,5.16,maize,1.0,Monitor
59.61,86.44,21.7,9.93,28.37,13.65,0,97.57,32.82,74.05,5.89,wheat,0.9,No irrigation
69.45,41.38,32.42,24.39,31.1,28.53,0,82.55,25.88,20.28,5.72,wheat,0.9,No irrigation
19.13,20.19,29.01,23.75,24.37,8.48,1,90.3,37.24,59.68,7.77,banana,1.25,Monitor
58.52,61.29,36.08,7.91,21.72,8.29,0,110.84,59.6,19.64,5.5,chickpea,0.75,No irrigation
47.73,77.7,38.42,17.57,27.03,10.51,1,114.27,40.03,47.1,5.24,rice,1.3,Monitor
63.92,71.42,32.07,1.03,23.43,20.88,0,119.96,50.34,32.52,5.12,banana,1.25,No irrigation
24.64,56.33,28.84,11.13,34.95,14.2,1,116.91,38.2,41.54,5.96,rice,1.3,Irrigate soon
62.18,43.09,33.87,11.53,34.18,24.78,0,65.48,28.87,36.01,7.91,cotton,1.1,No irrigation
62.57,77.74,20.02,34.77,26.93,3.52,1,82.26,39.91,43.73,5.15,chickpea,0.75,No irrigation
45.21,84.94,28.76,27.93,21.82,29.25,0,90.98,28.65,15.89,6.22,maize,1.0,No irrigation
69.57,83.91,29.23,4.7,32.48,15.95,1,70.89,26.41,69.26,7.94,maize,1.0,No irrigation
40.12,30.12,23.81,23.98,31.19,5.82,0,47.62,57.4,41.97,7.8,wheat,0.9,Monitor
29.69,20.18,34.52,33.5,28.7,20.48,0,64.65,39.06,36.61,7.29,cotton,1.1,No irrigation
40.04,42.52,23.77,27.9,28.58,8.54,1,24.36,54.68,60.84,7.43,cotton,1.1,No irrigation
69.36,75.47,33.04,6.08,34.47,5.53,1,106.97,62.45,43.62,6.58,cotton,1.1,No irrigation
15.84,30.09,37.42,38.8,21.12,23.88,1,53.86,51.56,57.24,7.56,banana,1.25,No irrigation
52.09,57.35,39.08,25.07,33.31,15.66,0,81.75,24.09,59.49,5.86,maize,1.0,No irrigation
56.07,50.38,21.97,25.35,33.09,14.42,1,110.34,12.76,66.75,5.88,chickpea,0.75,No irrigation
38.69,37.09,28.24,27.27,22.7,6.9,1,81.97,24.45,74.33,5.43,cotton,1.1,No irrigation
50.08,52.17,33.34,35.96,26.98,10.05,0,27.39,66.71,79.2,5.9,cotton,1.1,No irrigation
52.97,51.98,26.04,39.97,32.8,4.99,1,77.19,44.49,79.52,5.89,banana,1.25,No irrigation
51.2,39.21,31.32,27.43,31.17,3.37,1,103.28,64.18,65.42,5.69,banana,1.25,No irrigation
34.38,64.56,32.42,27.11,30.81,20.46,0,82.82,64.2,57.01,5.93,cotton,1.1,No irrigation
16.84,45.54,22.63,36.39,24.9,13.63,0,33.22,42.36,78.15,6.59,chickpea,0.75,No irrigation
60.68,37.99,36.49,19.27,32.1,22.9,1,100.42,38.1,19.89,7.26,maize,1.0,No irrigation
62.31,70.7,39.6,38.69,32.07,12.24,1,21.39,42.19,44.56,7.02,groundnut,0.85,No irrigation
29.42,46.67,32.77,14.86,30.12,15.2,1,111.53,23.28,19.11,7.47,groundnut,0.85,Irrigate soon
31.62,48.58,22.8,37.85,24.57,15.79,0,43.48,42.25,40.26,6.11,groundnut,0.85,No irrigation
53.31,57.81,31.75,29.06,33.28,20.34,1,81.57,66.34,33.18,7.07,maize,1.0,No irrigation
39.39,86.54,37.11,3.97,30.29,17.25,1,26.06,26.55,77.93,7.85,banana,1.25,Irrigate soon
40.01,66.39,32.83,23.89,20.32,24.03,0,118.88,57.22,28.34,7.49,wheat,0.9,Monitor
26.39,35.12,37.39,13.14,22.21,27.21,0,47.73,69.04,79.19,6.62,banana,1.25,Irrigate soon
24.6,66.27,20.52,0.59,31.85,8.66,1,21.58,25.92,23.24,6.26,rice,1.3,Irrigate soon
56.01,53.34,35.56,20.53,21.64,16.11,0,92.72,64.53,57.83,5.9,groundnut,0.85,No irrigation
68.02,24.26,29.58,16.06,30.29,15.73,1,27.35,14.85,54.54,5.2,chickpea,0.75,No irrigation
49.34,60.98,34.24,15.24,28.96,10.26,1,29.92,52.11,70.43,6.95,banana,1.25,Monitor
45.32,80.58,28.6,35.52,26.21,25.17,1,61.6,15.71,42.74,7.0,chickpea,0.75,No irrigation
67.45,68.08,29.49,3.65,21.28,14.09,1,101.18,43.38,53.12,6.68,chickpea,0.75,No irrigation
51.85,48.76,37.47,37.65,26.34,27.64,0,116.84,46.02,37.86,6.73,maize,1.0,No irrigation
23.51,53.75,36.95,14.0,28.34,5.22,1,77.41,58.43,69.94,7.92,banana,1.25,Irrigate soon
49.19,67.25,31.13,24.36,29.87,21.42,0,38.04,52.16,35.08,6.02,rice,1.3,Monitor
24.98,30.03,33.15,2.78,31.11,29.21,0,94.61,22.91,42.29,6.02,chickpea,0.75,Irrigate now
32.14,42.71,38.83,23.85,33.25,6.36,0,87.4,26.33,58.03,6.46,cotton,1.1,Monitor
37.78,35.09,30.25,13.81,21.66,20.99,1,72.69,28.51,29.33,7.95,rice,1.3,Irrigate soon
15.42,41.1,24.22,5.49,23.83,11.19,0,69.74,35.84,23.4,6.6,maize,1.0,Irrigate soon
42.51,78.33,36.12,2.88,32.93,3.18,0,65.98,14.67,35.35,6.29,cotton,1.1,Monitor
54.02,49.24,22.3,0.83,24.87,24.44,1,103.2,65.19,20.73,7.53,maize,1.0,No irrigation
38.96,48.03,21.57,34.82,31.19,8.2,0,27.64,47.99,49.49,5.58,banana,1.25,No irrigation
34.22,70.92,36.38,32.6,23.54,6.1,0,37.35,19.17,64.34,5.23,banana,1.25,No irrigation
49.54,52.48,31.27,23.18,30.22,26.7,1,106.42,47.63,24.81,5.2,cotton,1.1,Monitor
49.73,75.74,31.83,14.08,21.11,14.93,0,25.69,59.9,19.99,7.59,banana,1.25,Monitor
19.97,61.59,27.69,23.21,34.31,22.69,0,64.97,58.59,57.37,5.96,cotton,1.1,Monitor
42.58,87.04,29.01,32.44,32.56,29.51,0,70.45,20.35,31.1,6.31,cotton,1.1,No irrigation
43.82,62.69,27.28,36.72,25.81,23.69,0,98.92,48.84,19.28,5.28,groundnut,0.85,No irrigation
36.26,37.64,37.03,38.58,29.04,6.21,0,78.27,18.49,37.74,7.9,groundnut,0.85,No irrigation
51.42,29.03,34.18,3.39,28.38,20.02,1,101.32,50.21,68.88,7.22,groundnut,0.85,No irrigation
65.18,26.54,33.41,20.34,20.27,10.65,0,54.17,55.97,27.48,8.0,maize,1.0,No irrigation
19.24,79.11,22.02,30.83,32.53,26.74,0,86.19,62.58,55.17,6.79,maize,1.0,No irrigation
23.92,78.19,35.42,32.36,22.48,14.25,1,56.43,53.18,78.02,6.83,banana,1.25,No irrigation
56.17,51.42,30.68,12.38,32.13,15.13,0,56.78,66.83,78.99,6.39,chickpea,0.75,No irrigation
57.8,55.2,28.37,6.48,23.0,18.93,1,25.22,38.84,39.13,7.8,groundnut,0.85,No irrigation
61.52,79.58,25.7,30.52,24.09,27.35,0,103.1,15.5,74.18,7.45,chickpea,0.75,No irrigation
66.18,49.04,27.93,14.96,25.79,4.28,0,22.82,65.85,69.55,6.95,banana,1.25,No irrigation
23.03,22.68,38.35,18.9,32.47,23.25,1,64.86,10.32,20.15,5.77,banana,1.25,Irrigate soon
23.22,85.82,32.18,16.93,31.64,8.65,0,24.77,35.19,66.6,6.37,rice,1.3,Irrigate soon
61.02,54.99,30.72,25.28,28.63,22.12,1,62.92,46.89,30.64,6.25,groundnut,0.85,No irrigation
51.75,56.64,27.21,38.14,28.16,24.02,0,59.05,38.21,56.32,7.94,chickpea,0.75,No irrigation
56.1,45.0,21.35,9.65,29.86,4.9,1,33.34,31.14,37.01,6.93,banana,1.25,No irrigation
57.85,52.52,33.91,25.27,32.17,3.77,1,23.7,22.1,66.42,7.66,chickpea,0.75,No irrigation
66.34,56.08,39.78,21.72,23.8,23.09,0,48.61,61.73,18.11,6.97,chickpea,0.75,No irrigation
21.85,45.76,37.79,29.73,33.42,12.83,0,69.62,39.85,75.08,6.56,banana,1.25,No irrigation
19.54,49.71,28.61,39.8,22.71,10.23,0,28.01,49.66,34.92,6.81,cotton,1.1,No irrigation
24.17,51.07,28.94,29.07,33.67,19.22,1,47.46,68.8,76.61,5.23,groundnut,0.85,No irrigation
37.34,55.92,35.0,6.4,20.47,25.76,1,23.48,14.03,65.6,6.1,cotton,1.1,Irrigate soon
67.22,22.27,23.07,18.0,25.56,14.43,0,77.39,41.77,40.87,6.95,maize,1.0,No irrigation
67.83,21.81,23.72,20.71,33.7,5.3,1,90.4,22.87,54.77,7.08,cotton,1.1,No irrigation
26.01,29.5,21.48,6.91,30.7,29.92,1,86.78,52.57,50.75,5.87,chickpea,0.75,Irrigate soon
61.82,69.83,38.55,25.51,31.91,16.25,0,118.51,57.52,30.39,6.48,chickpea,0.75,No irrigation
45.47,45.82,36.07,22.07,29.18,4.41,1,59.82,53.02,46.11,6.23,cotton,1.1,Monitor
60.28,25.16,39.45,25.69,26.75,21.04,1,32.83,59.74,50.83,6.76,banana,1.25,No irrigation
68.14,50.28,38.21,2.22,21.86,6.28,0,36.2,66.08,29.66,7.84,wheat,0.9,No irrigation
64.22,79.22,25.01,25.4,28.26,5.5,1,81.44,15.61,56.66,6.78,wheat,0.9,No irrigation
23.48,66.11,34.41,24.21,32.64,17.78,0,28.12,66.91,65.12,5.79,maize,1.0,Monitor
57.18,49.16,32.78,19.92,29.41,10.11,1,68.29,58.28,59.52,5.89,rice,1.3,No irrigation
52.87,31.07,28.31,18.58,25.1,6.02,1,93.42,61.65,78.4,5.39,chickpea,0.75,No irrigation
43.32,27.43,24.83,4.9,26.74,5.94,0,49.02,33.05,55.0,5.74,banana,1.25,Irrigate soon
64.63,76.94,38.68,28.85,22.85,6.46,1,69.88,28.51,16.51,7.84,wheat,0.9,No irrigation
40.15,36.85,31.67,1.95,24.22,18.73,1,48.57,10.49,21.99,5.4,chickpea,0.75,Monitor
55.01,73.47,27.32,16.02,28.55,7.45,1,27.35,40.26,64.69,5.84,wheat,0.9,No irrigation
52.42,28.32,39.5,15.76,31.92,11.49,1,95.5,21.94,48.09,6.5,rice,1.3,No irrigation
17.14,69.95,36.08,20.77,22.23,27.01,0,52.8,46.78,25.56,7.97,groundnut,0.85,Monitor
61.34,61.56,30.15,20.39,27.35,17.76,1,101.57,32.1,58.8,7.94,wheat,0.9,No irrigation
31.92,82.91,37.44,25.17,28.95,9.43,0,92.14,45.01,26.08,6.89,wheat,0.9,No irrigation
57.6,46.61,36.43,9.69,28.59,21.61,0,21.89,28.82,24.84,7.07,cotton,1.1,No irrigation
42.6,62.8,29.43,33.94,30.91,21.76,0,76.09,69.89,46.09,6.13,maize,1.0,No irrigation
40.28,57.32,30.93,27.03,33.01,21.06,1,81.01,21.54,31.02,6.67,maize,1.0,No irrigation
66.78,88.76,35.42,28.2,30.35,15.69,1,54.88,66.02,66.7,5.82,rice,1.3,No irrigation
46.54,58.02,37.92,15.78,25.18,23.65,0,49.05,27.26,61.42,6.04,cotton,1.1,Monitor
51.08,72.31,24.28,33.12,24.07,17.74,1,33.73,46.94,53.14,5.73,groundnut,0.85,No irrigation
64.79,35.8,24.66,4.01,24.95,15.23,0,20.52,43.02,75.39,6.22,cotton,1.1,No irrigation
41.26,33.96,39.28,12.85,29.69,27.42,0,85.23,23.93,63.01,7.55,rice,1.3,Irrigate soon
65.23,32.25,37.64,7.03,33.79,29.92,1,98.8,21.18,63.69,7.62,chickpea,0.75,No irrigation
63.22,20.65,31.36,4.29,34.74,9.97,1,108.93,18.05,47.77,5.82,banana,1.25,No irrigation
21.2,31.37,29.18,10.29,22.79,22.63,1,76.78,55.44,26.41,7.57,cotton,1.1,Irrigate soon
60.48,56.07,21.73,26.77,22.77,5.94,1,113.58,10.41,39.93,6.34,chickpea,0.75,No irrigation
67.47,41.14,34.46,0.46,29.81,21.4,0,86.78,37.92,25.38,7.06,groundnut,0.85,No irrigation
57.34,68.32,32.77,37.63,25.51,8.18,0,67.82,37.3,79.27,6.12,groundnut,0.85,No irrigation
45.21,52.96,30.75,26.56,23.28,8.93,0,72.55,41.69,38.52,7.75,rice,1.3,No irrigation
18.4,58.34,30.11,22.91,22.25,11.19,1,31.62,22.32,52.9,5.27,wheat,0.9,Monitor
39.5,23.89,22.64,16.62,28.46,17.65,1,92.33,33.76,68.07,7.24,wheat,0.9,Monitor
19.02,49.66,34.01,21.65,20.9,27.04,1,23.17,34.53,64.98,7.3,groundnut,0.85,Monitor
50.52,49.43,39.86,15.3,33.04,27.39,1,28.02,67.85,71.85,5.4,banana,1.25,No irrigation
34.13,32.49,30.75,21.15,30.92,8.24,0,95.62,68.71,45.1,7.16,cotton,1.1,Monitor
44.26,77.64,24.95,13.85,24.13,28.25,0,23.22,49.61,54.97,7.81,rice,1.3,Irrigate soon
28.24,24.71,31.88,17.86,30.08,26.42,0,94.05,34.14,30.23,5.65,banana,1.25,Irrigate soon
57.68,29.81,39.87,9.37,33.75,18.13,1,43.69,62.58,79.07,6.56,cotton,1.1,No irrigation
31.53,24.27,38.97,35.19,33.67,19.53,1,75.59,12.81,37.39,6.93,cotton,1.1,No irrigation
58.22,42.31,28.33,5.97,25.65,23.12,1,44.1,23.52,70.74,5.43,cotton,1.1,No irrigation
65.31,59.37,39.36,22.29,22.01,8.8,0,53.03,14.74,44.24,6.11,wheat,0.9,No irrigation
54.85,33.33,25.37,26.95,29.04,26.46,0,100.47,45.26,58.64,5.65,maize,1.0,No irrigation
62.82,43.31,39.14,0.61,34.06,28.94,0,94.69,55.26,74.44,7.09,groundnut,0.85,No irrigation
26.25,84.06,31.04,31.02,25.71,16.94,1,50.84,31.58,72.38,6.4,banana,1.25,No irrigation
68.97,52.86,36.79,36.57,25.56,13.59,0,94.13,10.97,50.97,6.75,groundnut,0.85,No irrigation
37.97,30.67,26.6,15.19,32.5,15.98,1,45.73,59.3,77.82,6.93,cotton,1.1,Monitor
40.35,71.29,27.04,5.6,28.2,7.15,0,72.39,60.34,19.83,7.45,rice,1.3,Irrigate soon
57.04,48.87,36.85,9.26,30.61,2.26,1,57.32,47.07,58.34,6.85,cotton,1.1,No irrigation
51.26,21.1,30.64,16.45,20.25,22.22,1,21.71,58.79,58.81,7.42,maize,1.0,No irrigation
20.89,26.74,22.98,7.68,27.9,24.83,1,99.49,14.74,77.35,6.38,maize,1.0,Irrigate soon
69.46,35.81,33.68,33.91,29.81,26.03,0,29.35,32.76,50.93,5.17,rice,1.3,No irrigation
53.66,25.79,36.91,25.8,24.97,29.37,0,109.48,65.15,29.93,7.7,groundnut,0.85,No irrigation
63.82,53.29,20.93,2.97,33.88,27.18,0,37.94,61.03,16.02,5.62,maize,1.0,No irrigation
56.37,69.89,27.97,3.08,22.44,8.73,1,87.7,42.43,39.95,7.22,banana,1.25,No irrigation
69.37,70.69,30.02,38.97,20.81,14.24,0,54.06,56.14,77.07,6.19,banana,1.25,No irrigation
32.95,64.39,35.67,18.02,23.42,17.49,1,63.18,50.78,57.94,5.26,wheat,0.9,Monitor
31.25,37.25,21.47,10.72,25.7,23.95,0,93.97,29.0,21.93,5.02,chickpea,0.75,Irrigate soon
39.46,73.29,22.04,3.49,26.46,17.6,1,30.33,15.38,51.02,6.79,banana,1.25,Irrigate soon
32.84,46.97,25.84,15.51,21.27,27.23,0,77.2,20.17,39.75,5.42,chickpea,0.75,Monitor
29.76,30.22,23.34,11.04,24.5,23.91,1,45.17,24.8,55.63,6.78,maize,1.0,Irrigate soon
40.18,29.48,20.14,15.83,32.62,12.64,1,64.02,35.84,68.53,6.95,wheat,0.9,Monitor
22.49,42.45,38.95,8.03,24.71,29.01,1,49.14,51.7,46.92,6.73,maize,1.0,Irrigate now
32.92,39.62,35.72,14.6,33.98,7.59,0,88.17,43.01,76.95,6.38,groundnut,0.85,Irrigate soon
26.53,75.84,36.63,2.77,32.72,24.26,1,33.92,28.17,31.42,5.46,cotton,1.1,Irrigate now
58.4,25.18,39.81,19.17,26.01,16.19,1,74.36,57.44,38.37,7.69,wheat,0.9,No irrigation
47.66,84.01,22.19,9.93,29.97,6.66,0,76.32,48.7,57.04,7.9,chickpea,0.75,Monitor
68.11,50.13,20.21,10.35,27.66,16.53,0,64.58,33.47,65.2,6.77,wheat,0.9,No irrigation
23.29,89.84,29.66,11.82,33.81,4.4,0,54.83,30.58,65.98,6.56,chickpea,0.75,Irrigate soon
41.19,50.67,33.94,12.76,24.5,24.69,0,22.26,30.58,22.11,7.4,groundnut,0.85,Monitor
28.42,32.21,23.2,22.39,34.38,8.49,1,82.98,21.18,57.73,6.19,groundnut,0.85,Monitor
48.78,33.81,31.84,15.55,30.57,7.76,0,77.73,57.97,49.9,6.1,maize,1.0,Monitor
40.17,38.36,37.25,21.11,29.59,18.72,1,78.7,30.88,69.96,6.85,banana,1.25,Monitor
52.05,76.04,38.37,23.61,30.08,10.77,0,50.54,20.98,60.07,6.53,cotton,1.1,No irrigation
47.8,60.24,28.46,19.47,28.06,27.74,0,75.49,39.38,24.12,5.94,cotton,1.1,Monitor
49.07,80.59,39.04,19.38,22.93,12.75,1,60.91,39.5,61.16,6.33,maize,1.0,Monitor
19.55,22.16,35.22,11.68,24.12,17.05,0,98.07,43.94,65.22,6.49,wheat,0.9,Irrigate soon
21.23,27.99,35.5,32.93,25.5,25.03,0,96.0,36.48,29.21,6.28,groundnut,0.85,No irrigation
60.65,72.59,25.95,39.97,26.75,11.76,0,63.91,69.64,65.42,5.71,banana,1.25,No irrigation
55.57,68.24,37.22,24.41,26.42,19.25,0,101.35,58.33,52.05,6.6,wheat,0.9,No irrigation
44.63,42.66,34.08,11.57,24.01,26.02,0,33.56,55.01,41.75,5.18,chickpea,0.75,Monitor
62.69,28.88,37.32,9.99,30.67,25.2,1,68.95,44.65,32.47,6.24,cotton,1.1,No irrigation
19.15,75.62,35.38,16.11,31.25,21.45,1,65.47,39.28,52.83,7.61,banana,1.25,Irrigate soon
55.3,71.17,29.17,26.57,25.37,3.77,1,41.78,35.78,28.77,5.81,banana,1.25,No irrigation
30.6,58.31,22.61,34.1,31.82,27.04,0,24.59,47.57,69.39,5.05,banana,1.25,No irrigation
23.69,51.96,39.84,17.11,34.94,27.46,1,35.9,65.96,32.81,6.96,chickpea,0.75,Monitor
19.53,66.52,32.98,2.07,29.38,22.33,0,62.92,15.47,21.19,5.64,rice,1.3,Irrigate now
22.3,35.83,33.6,0.37,30.43,24.88,1,89.4,38.66,29.88,5.27,banana,1.25,Irrigate now
20.63,41.93,37.62,5.49,31.6,23.09,0,84.16,50.63,19.45,6.69,wheat,0.9,Irrigate now
50.75,50.81,34.45,25.12,22.27,13.53,1,106.0,15.2,21.53,7.26,wheat,0.9,No irrigation
55.15,44.61,28.59,31.64,23.72,20.05,0,75.34,46.0,54.49,7.34,groundnut,0.85,No irrigation
16.48,79.29,37.52,8.22,29.1,7.28,1,49.55,13.27,73.36,7.86,cotton,1.1,Irrigate now
36.22,36.88,32.76,2.84,33.33,2.34,1,113.39,17.92,70.95,6.71,chickpea,0.75,Irrigate soon
45.05,32.09,29.42,39.49,21.09,18.45,0,46.22,12.39,18.93,7.37,wheat,0.9,No irrigation
30.76,69.88,35.34,16.94,26.03,19.94,0,47.75,28.59,48.23,5.61,banana,1.25,Irrigate soon
23.55,42.87,31.73,30.53,29.75,20.01,1,89.87,53.8,70.02,5.17,rice,1.3,No irrigation
65.85,28.12,32.25,2.2,29.99,20.43,0,31.94,52.47,60.6,5.49,chickpea,0.75,No irrigation
43.77,74.81,34.42,6.68,21.9,23.87,1,93.29,17.08,73.49,6.01,cotton,1.1,Monitor
29.96,24.47,34.25,23.07,21.16,14.75,1,25.54,61.56,25.85,5.47,banana,1.25,Monitor
20.66,60.17,34.46,9.14,27.63,3.23,0,44.46,38.31,39.89,5.45,banana,1.25,Irrigate now
16.94,76.22,34.28,26.23,23.37,8.95,1,47.13,14.67,39.23,6.51,rice,1.3,No irrigation
24.86,76.3,39.63,38.16,21.03,15.02,1,97.35,28.64,20.62,6.37,chickpea,0.75,No irrigation
26.04,59.47,26.08,24.91,26.96,18.57,1,119.78,56.55,62.61,6.64,banana,1.25,Monitor
28.48,20.45,28.2,9.32,25.2,25.51,0,115.1,10.09,57.72,7.55,groundnut,0.85,Irrigate soon
31.91,34.36,39.66,16.79,34.42,29.23,0,91.17,15.58,74.88,7.69,wheat,0.9,Monitor
37.72,82.69,29.17,29.92,28.71,16.15,1,27.48,44.07,43.27,7.89,maize,1.0,No irrigation
31.04,79.56,38.52,15.72,32.48,11.14,1,47.2,14.48,28.18,7.34,wheat,0.9,Monitor
20.99,27.4,28.99,12.56,21.81,12.03,0,65.19,37.8,70.41,5.27,banana,1.25,Irrigate soon
52.73,77.85,33.94,1.61,32.54,11.18,0,91.12,68.1,40.76,5.15,chickpea,0.75,No irrigation
29.31,89.35,20.62,16.18,26.78,22.95,0,29.47,16.11,66.6,5.36,rice,1.3,Irrigate soon
60.67,88.78,22.61,32.95,25.58,19.65,0,78.23,25.53,67.83,5.07,rice,1.3,No irrigation
25.88,65.22,36.19,3.68,32.71,24.65,0,24.27,37.66,25.92,6.72,banana,1.25,Irrigate now
