nitrogen,phosphorus,potassium,ph,moisture,temperature,recommended_fertilizer,advice
72,73,84,6.4,31,24,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
40,50,40,6.7,36,28,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
62,74,65,6.2,37,30,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
35,15,37,5.3,51,38,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
37,21,23,5.1,55,29,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
57,64,70,6.2,26,19,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
72,74,67,6.7,65,20,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
12,11,36,5.6,25,33,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
60,67,78,5.8,58,25,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
60,61,84,6.5,34,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
68,41,59,6.5,60,23,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
47,77,64,6.0,57,24,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
33,42,45,6.7,56,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
58,55,51,6.3,34,19,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
66,63,71,7.2,68,27,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
39,52,57,7.1,52,18,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
17,35,26,7.0,43,37,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
67,53,62,6.2,65,20,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
36,21,19,5.5,36,29,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
89,84,84,6.9,37,34,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
22,31,16,6.6,25,35,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
80,65,77,7.2,41,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
36,54,26,6.2,22,26,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
20,42,18,6.2,29,30,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
10,30,36,6.9,30,36,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
71,77,87,6.5,55,27,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
74,45,55,7.0,57,27,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
26,8,45,6.1,24,30,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
42,54,65,7.0,55,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
74,86,83,7.2,65,25,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
58,21,93,5.7,28,27,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
71,44,47,7.1,59,32,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
85,27,86,7.2,69,38,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
22,13,25,5.9,16,25,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
77,26,94,6.0,43,18,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
37,14,20,6.7,48,23,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
84,71,81,6.5,37,34,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
69,46,48,6.7,48,32,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
57,35,61,6.5,35,29,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
20,27,21,6.6,48,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
37,48,34,6.5,37,19,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
51,42,79,6.0,57,22,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
37,19,39,7.2,44,37,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
13,16,21,6.3,46,33,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
83,59,62,6.8,55,32,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
22,39,28,6.2,45,24,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
69,87,86,7.0,62,24,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
39,11,37,6.9,17,38,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
37,22,13,5.9,21,35,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
26,17,12,6.1,41,40,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
59,69,83,6.1,51,30,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
83,42,86,7.3,46,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
63,63,74,6.7,48,34,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
67,58,59,6.2,59,20,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
50,75,80,6.2,47,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
23,6,14,5.5,18,30,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
79,87,59,5.9,69,20,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
85,80,86,5.8,61,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
67,40,85,6.8,41,37,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
55,84,65,7.0,47,24,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
53,32,49,5.9,64,29,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
37,5,27,5.3,30,36,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
46,35,51,6.7,32,19,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
36,42,29,6.7,49,31,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
50,62,62,6.2,44,22,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
36,73,77,6.8,50,25,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
64,68,76,6.7,36,31,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
78,49,96,5.6,65,27,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
62,39,51,7.2,63,27,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
46,58,19,7.1,37,22,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
61,59,64,6.3,39,30,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
44,46,21,6.0,27,30,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
48,61,75,6.6,50,29,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
27,19,26,7.1,19,24,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
36,9,20,6.5,29,29,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
27,31,24,5.4,34,30,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
40,63,35,5.5,47,19,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
52,83,74,7.0,40,34,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
27,27,43,7.1,30,26,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
21,57,40,7.2,57,34,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
55,55,46,7.0,57,31,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
47,45,78,6.9,48,36,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
49,31,83,6.2,26,34,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
48,70,70,6.6,62,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
10,12,21,5.7,53,39,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
45,49,56,6.7,53,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
61,58,77,6.4,43,20,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
13,15,20,6.1,41,39,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
85,86,69,6.4,34,29,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
66,33,99,7.0,64,19,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
66,43,74,6.4,53,31,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
87,55,73,7.0,60,29,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
83,62,68,5.9,59,22,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
77,60,80,6.7,41,38,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
84,46,87,6.7,29,26,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
69,75,63,6.7,55,31,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
20,21,19,5.1,41,22,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
17,35,49,6.5,28,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
51,55,52,7.1,62,28,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
88,90,86,7.5,45,30,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
17,22,47,6.9,48,37,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
58,51,89,6.5,46,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
37,51,45,7.2,37,27,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
71,36,37,6.8,47,27,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
60,72,79,5.5,40,31,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
94,57,59,6.2,69,25,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
35,48,50,5.7,37,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
44,49,43,5.6,50,35,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
73,64,100,7.1,27,27,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
33,24,38,6.8,53,25,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
68,60,50,6.6,59,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
27,47,33,6.4,57,34,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
43,59,29,6.1,52,23,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
75,31,38,6.0,46,34,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
73,73,88,6.3,35,25,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
40,59,49,7.0,31,34,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
62,53,55,5.8,33,34,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
59,65,73,7.0,62,31,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
63,67,65,7.2,35,26,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
68,86,89,6.5,39,19,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
48,35,45,6.8,43,32,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
55,35,59,6.5,40,18,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
44,69,73,6.8,33,22,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
16,59,16,6.7,27,36,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
37,17,33,6.6,34,39,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
49,63,63,5.5,34,21,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
57,72,53,6.0,60,22,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
57,40,95,6.3,50,37,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
28,44,22,6.2,27,20,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
24,42,44,6.3,46,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
46,62,54,5.9,32,25,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
68,44,91,7.3,55,37,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
94,65,82,7.1,61,20,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
43,69,58,7.0,42,35,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
57,66,77,5.8,43,24,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
65,35,44,6.4,62,19,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
39,61,83,5.6,28,23,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
45,17,49,5.5,39,31,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
19,25,48,6.8,32,35,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
26,20,28,5.9,35,38,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
47,33,39,7.2,40,25,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
66,89,64,6.0,40,31,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
21,9,19,7.1,16,31,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
52,51,41,6.6,45,25,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
32,20,34,5.1,36,33,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
55,53,28,6.6,53,33,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
63,41,61,5.9,35,22,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
44,53,93,7.4,65,27,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
40,29,11,5.7,35,22,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
94,76,88,6.6,35,20,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
87,72,85,6.2,47,25,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
55,58,48,6.0,38,36,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
68,68,69,7.1,39,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
72,41,87,6.5,38,30,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
12,16,50,7.2,47,35,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
25,62,45,6.3,22,26,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
45,64,99,6.2,55,20,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
76,40,98,5.9,31,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
59,66,79,6.9,35,22,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
77,57,87,7.1,60,35,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
47,53,77,7.1,25,24,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
60,20,71,6.3,55,37,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
22,31,49,5.8,34,19,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
72,30,62,6.1,39,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
30,51,52,6.3,59,26,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
54,56,39,6.3,34,27,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
28,13,41,6.4,34,33,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
41,11,47,6.8,30,40,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
27,57,20,6.3,24,25,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
82,20,74,7.3,64,32,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
57,35,41,5.9,65,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
38,23,18,6.9,17,31,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
41,47,47,6.7,44,37,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
40,14,42,7.1,36,23,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
42,77,71,6.6,39,19,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
63,38,59,6.2,60,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
58,33,36,7.0,63,25,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
81,60,83,5.8,29,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
45,55,80,7.1,58,30,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
69,43,48,6.5,31,29,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
89,76,89,6.2,56,32,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
60,66,57,5.7,44,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
40,18,14,6.4,50,22,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
58,44,71,6.6,63,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
62,56,64,6.6,56,22,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
76,68,83,6.9,70,33,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
27,29,21,5.6,44,21,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
40,29,20,5.1,39,21,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
25,30,30,7.1,23,26,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
30,16,14,5.5,32,37,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
74,40,76,6.7,44,22,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
60,32,40,6.6,53,31,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
61,35,78,6.9,65,35,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
72,39,82,7.1,49,21,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
10,9,45,6.5,43,27,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
