nitrogen,phosphorus,potassium,ph,moisture,temperature,soil_health
62.69,98.73,109.08,8.3,18.29,37.96,Poor
99.19,16.58,90.3,7.24,10.86,27.27,Healthy
125.56,33.06,71.49,6.27,31.13,39.8,Moderate
119.38,15.51,149.57,8.02,29.87,37.6,Moderate
24.9,99.91,101.52,7.1,16.33,39.22,Poor
14.06,27.88,25.74,7.61,23.87,39.59,Moderate
101.88,8.44,5.79,4.71,52.41,36.64,Poor
43.4,85.69,13.3,7.7,74.95,35.85,Moderate
107.74,84.61,10.82,5.31,18.74,28.62,Moderate
114.33,64.85,128.41,5.12,61.42,20.21,Moderate
47.91,72.44,147.13,6.95,13.82,31.64,Moderate
15.93,88.99,107.89,5.19,16.42,19.96,Poor
147.2,48.56,118.69,7.05,50.07,18.92,Moderate
142.44,33.63,88.81,7.3,55.45,40.4,Moderate
30.78,53.29,63.58,6.4,18.35,18.62,Moderate
48.93,33.95,67.05,6.94,54.42,26.12,Healthy
67.23,25.67,90.3,5.77,12.52,26.3,Healthy
76.38,26.43,88.01,6.76,59.14,32.49,Healthy
101.34,35.04,119.18,6.7,40.2,31.9,Healthy
60.49,53.71,111.82,8.05,74.47,28.6,Moderate
82.84,80.99,50.6,7.85,44.59,18.13,Moderate
20.09,84.99,13.06,5.62,33.39,19.67,Moderate
53.95,75.56,7.13,7.81,69.96,25.05,Moderate
31.51,62.08,22.35,5.96,77.09,41.88,Poor
118.09,34.54,104.71,7.32,37.15,32.3,Healthy
11.5,24.86,81.14,5.16,21.61,37.58,Moderate
148.48,57.82,126.67,8.46,19.91,27.1,Poor
64.96,12.6,114.52,6.24,42.85,19.07,Moderate
35.33,91.17,11.47,5.43,30.44,28.24,Moderate
92.1,51.86,17.2,5.47,69.05,32.21,Moderate
100.88,68.67,115.62,4.73,35.66,29.57,Healthy
57.38,85.23,74.97,7.57,69.64,28.63,Moderate
137.34,60.78,128.29,5.86,44.92,29.35,Moderate
24.7,42.86,138.01,7.02,22.43,24.15,Moderate
36.82,7.36,139.48,6.29,31.53,31.16,Moderate
11.02,31.41,106.94,7.04,78.73,31.75,Moderate
76.85,77.34,135.98,7.38,77.42,36.11,Moderate
131.35,15.84,111.2,6.26,48.72,32.66,Moderate
145.77,98.53,46.79,7.44,62.5,24.36,Moderate
27.34,8.89,117.71,6.46,78.99,27.55,Poor
146.91,44.1,120.08,4.84,48.88,36.66,Moderate
139.46,83.15,10.36,5.99,13.41,17.95,Poor
104.54,72.76,117.19,7.96,61.76,36.62,Moderate
16.85,27.28,95.18,7.93,10.32,28.89,Moderate
104.82,7.81,63.2,8.08,57.01,21.42,Moderate
129.39,38.06,128.73,5.7,51.32,25.72,Moderate
48.48,89.22,32.2,4.84,33.93,34.38,Moderate
123.04,99.88,47.97,6.13,19.58,30.52,Moderate
149.66,71.58,91.31,6.07,74.07,28.42,Moderate
28.81,39.71,14.74,5.31,11.24,27.24,Poor
98.84,37.61,65.96,8.34,62.64,29.6,Healthy
49.84,90.21,39.09,5.8,73.63,29.3,Moderate
113.92,61.12,99.75,5.7,26.9,23.71,Healthy
31.76,88.06,46.07,6.75,65.44,36.16,Moderate
71.37,50.24,149.23,7.2,67.02,39.37,Moderate
120.26,22.59,86.51,4.91,55.7,40.79,Moderate
81.78,46.13,10.2,8.34,17.21,16.11,Poor
44.45,11.23,70.99,6.56,31.88,16.38,Moderate
25.62,41.53,13.78,7.29,24.49,23.16,Moderate
65.18,44.58,5.24,4.95,70.39,15.03,Poor
81.14,51.5,53.3,6.23,64.64,37.71,Healthy
46.45,35.64,40.16,6.42,57.83,21.16,Healthy
56.3,93.39,12.04,6.34,59.81,19.06,Moderate
16.63,18.13,138.23,4.54,23.18,15.84,Poor
25.49,63.91,40.04,6.78,51.31,37.93,Healthy
10.66,86.07,94.77,5.15,64.11,38.1,Poor
45.6,92.29,70.9,6.91,78.93,24.76,Moderate
123.84,35.25,120.89,6.9,25.14,26.18,Moderate
54.47,12.42,9.33,5.89,11.33,19.47,Poor
111.53,72.27,112.09,5.77,72.3,31.03,Moderate
27.64,18.65,105.5,5.19,45.51,41.78,Poor
10.56,6.58,149.0,6.84,18.88,39.23,Poor
133.25,55.94,95.16,5.59,13.54,31.05,Moderate
51.27,68.04,126.26,4.57,51.7,21.24,Moderate
132.34,29.1,93.56,6.71,37.73,33.3,Healthy
111.61,58.86,114.97,8.43,39.35,28.89,Healthy
11.75,80.62,80.43,6.13,16.59,39.02,Poor
65.3,69.85,26.66,8.35,22.49,20.39,Moderate
130.26,91.7,35.76,6.38,61.34,38.72,Moderate
63.07,54.12,112.55,7.42,64.81,30.39,Healthy
24.65,90.88,130.51,7.69,16.99,20.52,Poor
114.1,7.2,146.99,6.01,60.35,38.96,Poor
65.25,35.32,93.27,6.82,38.64,31.25,Healthy
140.95,49.43,33.53,6.01,37.59,18.54,Healthy
32.8,70.03,54.22,8.32,27.05,17.67,Moderate
115.49,88.7,45.33,5.31,23.0,29.09,Moderate
75.58,29.65,11.55,6.43,77.15,32.62,Moderate
79.37,15.52,41.6,5.68,63.54,38.67,Moderate
136.23,98.53,147.44,8.31,15.03,18.72,Poor
52.63,57.53,19.06,7.88,53.17,29.64,Moderate
33.14,29.06,28.25,7.91,50.9,34.85,Moderate
51.44,40.27,63.7,7.54,64.06,20.58,Healthy
141.82,16.46,134.94,4.9,28.52,37.85,Poor
35.13,44.29,70.23,5.48,59.72,37.99,Moderate
132.44,37.24,81.97,5.49,27.14,19.35,Moderate
141.6,89.36,117.72,6.57,44.34,29.3,Moderate
85.12,46.28,24.1,5.0,76.66,28.01,Moderate
143.45,20.54,85.39,5.33,27.72,15.81,Moderate
26.65,92.1,51.62,6.93,42.55,25.81,Moderate
84.46,22.79,148.35,7.77,61.91,27.66,Moderate
31.4,92.46,54.5,4.7,33.97,36.45,Poor
97.18,76.33,120.08,5.35,74.66,26.83,Moderate
99.46,5.22,149.04,5.62,14.34,27.37,Poor
28.06,19.47,96.68,6.07,74.53,23.62,Moderate
111.67,48.8,100.69,6.9,43.09,40.65,Healthy
57.98,21.84,103.32,7.88,12.82,27.14,Moderate
134.95,76.21,148.81,6.63,56.2,23.17,Moderate
142.65,39.8,112.08,6.11,49.33,34.43,Moderate
81.25,91.17,65.8,7.09,33.97,26.02,Healthy
71.61,16.95,18.3,7.17,55.89,32.9,Moderate
12.77,36.02,33.68,7.61,70.24,21.66,Moderate
103.5,17.29,44.9,5.05,29.85,33.22,Moderate
137.45,24.24,83.6,7.31,76.7,31.47,Moderate
45.71,64.42,51.47,8.4,37.98,33.51,Moderate
13.25,43.01,131.89,6.94,41.08,40.27,Poor
129.56,35.61,83.96,6.46,54.25,24.02,Healthy
44.19,91.7,138.96,7.87,78.47,35.11,Poor
117.05,77.45,74.69,6.33,26.82,32.41,Moderate
50.5,29.49,89.96,6.14,25.32,37.03,Moderate
130.48,20.93,6.09,5.84,65.83,37.66,Moderate
29.37,78.56,21.78,6.06,79.9,20.2,Moderate
31.55,45.17,94.85,8.23,78.66,16.88,Poor
29.32,80.12,44.24,8.04,56.44,18.02,Moderate
126.55,21.75,66.41,6.71,45.05,33.53,Moderate
101.38,99.24,149.92,6.57,16.66,34.65,Poor
146.73,35.24,71.88,6.2,13.6,33.15,Moderate
59.47,79.81,125.66,7.78,39.17,23.68,Moderate
114.83,81.13,76.23,8.07,20.07,38.73,Moderate
23.45,19.58,82.41,4.77,13.7,15.01,Poor
71.08,78.59,10.05,7.11,67.62,19.54,Moderate
30.56,86.78,124.35,6.66,67.34,17.5,Moderate
65.23,75.09,42.33,7.51,45.29,35.26,Moderate
75.06,39.95,36.78,5.33,62.6,18.21,Healthy
22.04,21.75,30.43,7.79,37.9,41.74,Moderate
29.21,67.09,70.07,6.07,71.26,41.34,Moderate
132.2,23.27,37.02,7.12,30.24,34.84,Moderate
89.3,57.34,125.14,7.34,11.86,16.34,Poor
94.22,51.19,42.73,6.17,63.05,37.32,Healthy
88.57,41.61,44.25,6.59,32.03,30.23,Healthy
104.73,11.28,5.15,5.35,72.62,32.45,Moderate
34.07,89.58,73.14,6.4,75.49,16.61,Poor
40.12,60.65,33.35,7.22,24.99,17.68,Moderate
38.98,45.16,30.54,5.04,70.22,23.65,Moderate
60.51,10.25,56.82,5.56,52.73,20.55,Healthy
134.37,93.32,19.48,4.93,18.07,31.73,Poor
27.08,85.98,114.37,7.78,46.82,41.91,Poor
16.18,43.12,51.97,8.29,50.38,36.77,Moderate
33.85,97.97,77.3,6.47,77.96,25.28,Poor
65.65,60.55,23.57,5.78,23.52,17.79,Moderate
131.26,60.99,57.01,6.13,40.21,32.1,Healthy
139.75,93.61,61.77,5.82,41.57,30.33,Moderate
74.65,67.58,85.39,5.78,34.2,25.22,Healthy
23.25,20.78,109.85,6.06,25.02,30.19,Moderate
115.78,29.46,124.88,8.21,51.82,33.06,Moderate
17.36,94.82,61.91,8.2,50.53,15.12,Poor
15.4,69.64,86.59,4.61,62.04,38.01,Poor
79.5,49.25,5.79,7.65,33.15,38.73,Moderate
62.23,58.68,44.2,5.14,64.24,28.41,Healthy
85.11,96.71,144.72,7.92,23.13,31.05,Moderate
132.94,40.57,19.66,7.74,43.72,30.24,Moderate
147.5,62.69,66.62,5.98,39.23,18.2,Moderate
121.27,84.58,46.24,5.72,71.2,15.65,Moderate
82.86,49.05,105.07,5.15,56.78,25.17,Healthy
96.62,8.81,71.95,6.59,25.0,18.77,Moderate
36.39,37.69,19.04,8.29,38.35,36.84,Moderate
146.42,12.67,99.49,7.99,54.4,26.58,Moderate
70.35,8.41,82.52,8.47,77.11,16.09,Poor
108.81,33.67,135.93,4.68,75.51,37.61,Poor
26.45,10.68,126.03,5.12,47.44,39.73,Poor
89.44,42.74,69.53,4.75,77.81,23.39,Moderate
36.51,32.17,144.83,4.88,70.71,34.11,Moderate
126.2,97.71,127.11,8.27,18.89,36.49,Poor
86.39,56.63,135.34,8.39,59.34,28.04,Moderate
73.9,41.7,57.43,6.07,16.28,17.09,Healthy
119.18,47.38,139.95,6.95,12.46,19.25,Moderate
38.81,97.69,36.71,6.56,75.53,41.38,Poor
43.09,9.67,27.27,4.75,23.66,30.35,Moderate
137.74,56.04,95.77,5.31,66.04,31.68,Moderate
130.98,95.14,55.45,4.86,25.82,26.82,Moderate
142.4,40.94,116.76,6.66,22.8,23.66,Moderate
101.45,68.92,68.04,5.41,60.53,19.56,Healthy
141.13,22.85,20.56,6.49,46.37,28.72,Moderate
71.13,99.51,75.51,6.41,39.52,16.8,Moderate
93.01,26.66,97.45,4.7,78.7,27.66,Moderate
135.55,50.18,13.75,7.79,55.37,36.11,Moderate
69.94,65.6,129.15,7.02,34.34,32.89,Moderate
104.06,96.26,58.78,6.2,66.85,28.66,Healthy
113.12,48.67,36.25,7.48,19.18,20.36,Healthy
97.76,75.99,134.73,5.59,17.75,40.81,Poor
31.62,23.78,47.24,6.62,71.8,35.53,Moderate
109.14,21.64,56.86,6.41,20.32,22.38,Healthy
53.17,17.09,84.78,7.32,14.9,27.99,Moderate
119.51,76.06,123.19,6.29,67.44,21.5,Moderate
60.51,21.75,72.79,6.07,26.86,35.3,Moderate
53.94,30.92,23.98,6.26,31.21,24.97,Moderate
43.04,77.5,139.85,6.49,55.01,38.41,Moderate
149.84,63.28,134.02,8.13,65.4,27.45,Poor
21.36,6.5,74.19,6.48,38.52,30.34,Moderate
87.3,84.48,20.76,5.4,65.51,37.89,Moderate
149.28,87.93,134.04,5.76,38.12,22.24,Poor
94.88,94.19,54.97,6.73,30.74,19.58,Moderate
37.33,10.5,142.65,6.11,68.39,33.4,Moderate
36.87,21.67,122.74,5.56,73.93,18.78,Moderate
104.88,82.38,39.11,5.6,77.52,22.14,Moderate
70.19,46.09,41.69,7.6,64.03,25.21,Healthy
126.92,25.24,5.62,6.78,79.59,16.04,Poor
39.12,54.3,122.44,4.86,37.67,35.17,Moderate
62.02,22.94,33.35,6.14,43.56,38.27,Healthy
99.92,70.59,147.53,6.15,38.23,39.93,Moderate
44.42,74.33,114.41,4.89,42.78,20.42,Moderate
35.95,49.06,46.97,7.68,73.53,36.67,Moderate
47.24,31.04,41.94,5.04,76.07,25.86,Moderate
41.46,85.43,62.88,4.64,21.34,32.26,Moderate
119.61,25.04,138.02,7.9,69.39,21.15,Moderate
17.08,87.41,49.34,6.98,63.2,18.46,Moderate
119.32,94.16,110.61,6.26,71.37,29.24,Moderate
114.27,82.95,113.66,5.65,18.25,21.44,Moderate
80.4,53.0,89.48,6.08,65.08,39.66,Healthy
44.54,74.97,103.31,6.59,23.2,36.47,Moderate
144.49,73.57,138.09,8.44,34.64,32.23,Poor
76.35,98.73,18.6,6.15,71.29,22.67,Moderate
120.29,41.36,147.1,8.03,31.09,35.8,Moderate
57.16,62.6,100.48,7.82,11.71,20.94,Moderate
109.67,58.53,76.86,4.72,34.38,38.36,Moderate
14.32,42.66,142.05,4.7,62.48,21.96,Poor
131.33,75.88,133.43,5.36,47.19,36.04,Moderate
44.4,26.92,8.94,8.33,59.7,32.16,Moderate
114.16,55.5,74.04,6.3,54.83,20.44,Healthy
134.33,82.12,55.69,6.81,19.87,41.25,Moderate
136.4,92.58,53.16,5.18,24.82,17.43,Poor
26.82,11.77,148.52,4.8,19.28,37.34,Poor
91.23,78.57,96.48,8.03,54.69,29.1,Healthy
109.78,47.5,55.18,6.37,21.88,36.51,Healthy
46.5,19.59,40.72,7.87,33.11,33.52,Moderate
129.9,12.39,115.93,5.73,25.16,33.6,Moderate
137.37,33.03,87.48,5.66,48.8,31.79,Healthy
95.45,64.24,24.59,7.27,57.23,33.43,Healthy
20.37,47.45,64.31,4.85,25.57,26.91,Moderate
114.01,27.52,125.31,6.68,63.23,27.76,Healthy
79.89,63.87,139.56,6.47,47.01,31.25,Healthy
113.25,11.83,79.77,6.43,74.52,28.32,Healthy
75.56,96.41,70.33,5.22,25.18,17.57,Moderate
10.08,46.03,116.54,7.43,12.25,30.39,Moderate
31.6,94.4,29.27,7.01,32.84,32.32,Moderate
67.72,77.17,38.45,8.12,45.01,35.41,Moderate
128.96,99.89,37.47,5.65,27.53,22.1,Moderate
91.54,99.38,148.59,6.61,54.73,38.22,Poor
140.61,24.37,81.64,7.83,31.22,26.87,Moderate
147.99,98.58,136.39,7.69,28.84,23.66,Poor
86.62,58.27,78.3,7.05,38.58,35.23,Healthy
56.7,36.41,23.45,5.25,69.54,27.05,Moderate
41.9,77.14,85.33,4.58,32.15,19.78,Moderate
101.82,31.13,14.42,4.72,50.72,15.59,Poor
128.83,19.76,92.95,6.28,41.0,16.94,Moderate
122.39,89.84,6.6,5.21,73.27,29.84,Moderate
31.01,24.27,100.7,7.4,51.96,40.74,Moderate
79.17,33.53,74.2,5.94,25.71,16.24,Moderate
59.31,72.58,7.67,6.26,55.08,31.48,Moderate
118.73,82.0,108.2,4.91,43.25,31.29,Moderate
44.38,9.04,37.42,6.32,38.98,19.77,Moderate
125.42,92.94,34.2,8.22,11.25,39.97,Poor
143.27,6.14,115.64,8.38,73.41,41.21,Poor
87.05,12.42,128.22,6.96,53.03,26.27,Moderate
90.06,19.59,112.27,4.8,61.08,37.92,Moderate
76.15,53.43,50.27,8.38,61.32,24.96,Healthy
34.47,25.86,72.27,8.27,61.39,20.81,Moderate
130.34,40.93,128.5,5.47,53.31,40.02,Moderate
46.11,70.83,148.16,5.1,16.19,33.2,Poor
57.56,11.77,73.92,7.52,29.96,24.05,Moderate
128.4,54.41,127.2,6.29,76.71,32.57,Moderate
26.23,89.08,75.94,5.07,20.69,33.56,Poor
16.63,32.23,25.27,6.26,39.0,29.09,Healthy
49.15,8.04,94.09,5.99,55.59,17.93,Moderate
11.93,28.59,71.2,6.08,66.72,25.2,Healthy
84.26,61.38,8.17,6.56,34.14,26.37,Healthy
24.04,79.37,141.65,4.59,52.1,35.62,Poor
49.87,79.82,96.69,8.22,78.67,16.14,Poor
72.29,56.96,26.28,5.85,79.14,15.44,Moderate
73.35,85.05,51.97,6.42,78.46,27.82,Moderate
28.33,9.91,142.09,5.56,45.28,17.45,Poor
69.31,93.36,77.85,8.38,28.12,28.62,Moderate
130.33,47.58,45.53,7.92,37.29,29.33,Healthy
146.71,22.72,48.7,4.62,37.43,20.4,Moderate
105.2,22.23,102.85,5.55,34.87,24.42,Moderate
110.35,49.32,57.39,7.91,50.04,20.77,Healthy
136.01,37.55,10.65,6.48,18.68,21.44,Poor
114.6,17.42,122.01,8.25,52.46,34.18,Moderate
109.9,99.32,54.52,5.15,46.34,29.4,Moderate
34.91,63.25,7.05,8.21,28.52,16.07,Poor
25.15,27.82,44.72,4.63,29.55,20.21,Moderate
63.01,41.59,54.16,5.81,16.28,15.68,Moderate
38.3,76.88,148.67,8.21,45.3,29.36,Moderate
54.04,78.52,115.89,7.88,72.69,26.73,Moderate
117.36,81.61,49.73,8.22,16.6,41.85,Poor
117.81,13.86,100.15,4.64,63.91,36.58,Moderate
94.34,86.4,19.19,5.6,38.99,16.15,Poor
72.75,30.2,61.95,6.2,71.56,22.3,Healthy
135.12,45.47,52.53,6.51,39.24,21.95,Healthy
80.38,19.42,56.03,6.76,38.94,37.25,Healthy
45.94,97.13,118.78,8.37,68.67,18.84,Moderate
83.7,21.15,123.64,6.84,28.44,40.1,Moderate
26.13,58.57,109.55,4.74,51.85,37.03,Moderate
19.45,53.66,42.49,7.15,18.31,40.3,Poor
135.26,22.67,51.87,6.85,60.26,26.95,Healthy
31.88,14.89,149.97,6.32,71.08,28.02,Poor
139.13,13.34,21.53,8.22,76.32,23.5,Poor
59.72,47.98,65.34,5.26,72.89,21.84,Moderate
108.74,11.38,10.62,7.11,33.73,32.7,Moderate
23.16,95.24,113.53,8.01,19.55,23.64,Poor
61.57,56.03,48.05,4.74,35.82,21.87,Healthy
64.03,23.71,42.97,7.01,37.17,24.33,Healthy
84.75,78.33,59.94,6.85,77.63,29.09,Healthy
137.37,80.4,13.51,6.22,58.88,41.64,Poor
74.17,13.81,86.49,5.01,62.61,28.71,Moderate
111.28,87.59,96.2,6.95,62.82,37.75,Healthy
131.67,8.46,85.65,5.37,70.22,32.51,Moderate
68.83,22.87,54.16,7.32,24.31,17.53,Moderate
134.32,77.6,33.97,5.67,78.04,34.12,Moderate
95.47,34.22,48.37,4.66,60.99,16.17,Moderate
10.68,74.3,142.59,7.53,43.01,28.12,Moderate
71.06,35.84,80.65,6.22,51.87,39.25,Healthy
149.3,12.48,60.78,5.22,34.65,22.76,Moderate
34.44,77.59,76.96,8.18,12.28,16.81,Poor
66.46,12.63,43.1,8.44,24.63,20.35,Moderate
90.31,52.31,89.16,6.01,67.87,18.74,Healthy
69.97,70.53,130.89,5.98,49.74,16.87,Moderate
33.84,11.57,110.54,5.65,60.66,16.79,Poor
130.76,84.38,17.89,4.6,13.94,38.05,Poor
42.86,57.09,66.81,7.68,44.22,28.52,Healthy
148.47,19.26,125.45,4.71,43.44,38.93,Poor
103.13,70.1,43.18,6.17,35.66,29.08,Healthy
74.71,36.06,49.29,5.5,35.55,19.05,Healthy
132.09,62.2,24.4,7.28,69.34,21.41,Moderate
31.08,5.82,11.85,7.55,79.1,16.21,Poor
114.73,11.83,90.86,7.52,35.14,15.3,Moderate
93.33,99.17,42.35,5.26,18.67,29.99,Moderate
93.5,80.27,114.2,8.07,66.4,21.68,Moderate
87.82,33.25,52.82,8.23,57.73,41.31,Moderate
68.37,56.06,75.63,4.93,26.57,29.25,Healthy
19.43,93.49,22.96,5.29,63.57,17.62,Moderate
136.04,73.94,14.95,7.27,54.21,35.45,Moderate
125.95,73.24,90.0,5.79,58.81,40.84,Moderate
92.25,68.11,68.38,7.52,79.84,19.33,Moderate
38.34,56.25,74.8,6.79,13.44,25.92,Healthy
91.62,60.59,100.31,7.38,54.91,36.34,Healthy
97.47,56.06,92.9,4.9,29.12,29.24,Healthy
132.22,69.51,18.11,6.87,25.52,34.82,Moderate
125.84,61.38,90.75,5.85,41.24,38.33,Moderate
111.26,54.38,58.39,4.7,20.01,20.21,Healthy
62.27,94.69,78.25,5.44,17.4,24.13,Moderate
124.2,41.42,117.01,7.71,17.76,31.43,Moderate
144.27,43.2,12.39,8.19,71.86,29.1,Poor
87.32,25.12,123.82,6.49,12.37,33.44,Moderate
143.07,83.77,45.19,4.71,75.82,40.3,Poor
84.54,66.02,72.08,6.18,18.36,17.61,Healthy
42.58,84.48,26.15,5.41,48.4,20.81,Moderate
32.85,58.52,58.37,7.0,73.85,19.08,Moderate
137.88,90.74,125.22,7.03,53.41,32.26,Poor
106.67,6.57,143.92,6.84,64.7,25.19,Moderate
11.74,53.42,78.54,6.25,33.78,21.75,Healthy
83.86,40.65,145.64,5.19,32.38,22.94,Moderate
86.06,52.43,98.34,8.3,29.97,33.7,Moderate
13.51,29.93,72.24,4.62,53.24,33.31,Moderate
114.54,54.07,92.57,6.08,12.89,17.7,Healthy
101.7,99.58,7.29,6.73,62.57,37.32,Moderate
86.33,63.89,106.03,7.94,18.56,40.01,Moderate
13.64,84.44,16.13,5.28,10.27,27.02,Poor
56.81,20.77,70.41,6.11,63.74,39.11,Moderate
101.36,16.82,47.83,8.15,16.21,25.99,Moderate
141.95,95.31,64.62,7.17,41.97,35.34,Moderate
14.42,18.69,94.06,5.43,56.62,24.48,Moderate
134.13,82.83,76.46,7.59,28.98,28.35,Moderate
37.65,86.78,124.34,8.11,71.42,40.91,Poor
41.97,93.52,87.83,6.19,49.23,24.25,Healthy
50.4,27.92,16.95,6.49,72.14,32.01,Moderate
82.94,45.72,72.34,5.34,67.61,20.36,Healthy
110.33,77.2,88.36,7.95,30.37,38.8,Moderate
112.12,80.88,101.36,7.89,79.52,26.34,Moderate
123.95,75.74,70.67,8.21,37.61,30.27,Moderate
24.83,26.45,126.9,6.09,37.59,21.64,Moderate
78.83,81.55,134.8,4.78,50.24,27.62,Moderate
96.0,47.49,62.8,6.39,50.74,28.53,Healthy
76.1,82.69,113.12,5.87,66.04,38.05,Moderate
31.49,60.35,46.37,7.46,26.71,33.13,Moderate
45.72,53.56,142.55,6.03,71.3,41.65,Moderate
132.48,20.76,123.85,4.63,37.53,38.51,Moderate
106.43,55.61,61.24,7.75,59.67,27.65,Healthy
134.95,26.85,29.71,7.07,78.04,21.68,Moderate
44.95,18.25,129.78,5.41,45.22,41.75,Moderate
11.7,57.87,79.28,7.73,34.87,26.08,Moderate
33.51,75.38,118.78,5.05,37.54,39.11,Poor
10.38,33.38,85.48,5.84,29.04,27.42,Moderate
35.41,55.31,107.47,6.8,16.52,37.8,Moderate
34.5,77.66,57.28,7.63,24.44,20.04,Moderate
79.58,8.13,37.67,7.4,68.62,17.18,Moderate
133.49,80.76,131.1,7.29,57.19,29.18,Moderate
101.39,92.32,19.58,5.76,15.07,40.51,Poor
72.34,69.16,126.96,8.46,21.32,36.59,Moderate
134.24,9.64,114.34,5.92,55.4,28.88,Moderate
46.36,17.85,21.96,4.91,54.65,24.49,Moderate
40.33,70.73,104.59,6.66,75.45,25.41,Moderate
127.02,12.14,112.28,8.45,69.26,30.65,Moderate
97.75,38.56,103.53,7.58,79.88,28.3,Moderate
18.58,61.61,22.26,5.48,33.01,34.74,Moderate
35.73,20.75,11.52,7.99,58.55,16.08,Moderate
13.96,58.07,45.97,6.89,40.42,39.93,Moderate
50.29,69.52,12.84,8.32,78.65,34.96,Poor
75.13,25.9,122.81,7.45,25.54,27.18,Healthy
74.79,83.51,104.16,7.07,55.49,22.3,Healthy
62.04,9.34,119.11,6.23,40.68,21.62,Healthy
39.32,60.84,38.72,4.76,63.73,25.16,Healthy
63.23,45.98,123.18,5.78,63.06,40.37,Moderate
102.52,46.01,113.43,6.33,39.01,29.18,Healthy
54.48,14.9,65.15,5.0,38.73,30.04,Moderate
140.3,8.44,95.11,6.33,11.42,21.74,Poor
26.59,25.6,44.81,6.11,47.03,15.03,Moderate
32.66,13.89,84.7,5.82,48.39,20.99,Moderate
13.39,94.43,20.7,5.01,20.26,41.49,Poor
96.47,62.98,148.07,4.85,78.22,20.51,Poor
