year,state,crop,season,area,production,annual_rainfall,fertilizer,pesticide,yield
2024,Puducherry,Other  Rabi pulses,Rabi,40.83,59.49,1285.9,5402.12,11.56,1.457084
2006,Jammu and Kashmir,Groundnut,Kharif,39.0,20.0,1786.5,4980.69,8.58,0.5
2023,Kerala,Garlic,Whole Year,279.41,346.71,2675.0,31890.39,61.6,1.240862
2004,Tamil Nadu,Tapioca,Whole Year,110589.0,4563776.0,1034.0,11981212.26,23223.69,41.5525
2012,Chhattisgarh,Gram,Rabi,267890.0,304859.0,1366.8,40397812.0,83045.9,1.114615
2011,Meghalaya,Linseed,Rabi,85.0,41.0,4083.1,14239.2,28.05,0.48
2020,Bihar,Gram,Rabi,410709.15,464285.68,1739.3,99606.41,1557.75,1.130449
2009,Sikkim,Small millets,Kharif,4250.0,4180.0,2176.6,662235.0,722.5,0.99
2012,Himachal Pradesh,Linseed,Rabi,932.0,344.0,1035.0,140545.6,288.92,0.365
2014,Tamil Nadu,Ginger,Whole Year,311.0,1316.0,911.3,46948.56,102.63,4.132222
2016,Kerala,Groundnut,Whole Year,358.0,505.0,2924.3,54863.5,125.3,1.41
2014,Jharkhand,Maize,Autumn,106524.0,230750.0,1156.6,16080863.04,35152.92,1.71625
2003,Andhra Pradesh,other oilseeds,Rabi,14609.0,0.0,826.0,1445998.82,3506.16,0.0
2018,Uttar Pradesh,Small millets,Kharif,6078.0,4589.0,792.8,985851.6,2127.3,0.75
2015,Sikkim,Small millets,Kharif,2853.0,2911.0,2949.1,450517.23,941.49,1.0175
2023,Andhra Pradesh,Ginger,Whole Year,1240.83,4466.42,1019.7,176534.71,332.53,3.599554
2023,Himachal Pradesh,Turmeric,Kharif,202.73,154.54,1056.0,31127.05,54.78,0.762307
2008,Jammu and Kashmir,Urad,Rabi,11.0,5.0,1390.1,1573.44,0.99,0.44
2010,Maharashtra,Sugarcane,Whole Year,964500.0,85691500.0,1389.0,160213095.0,231480.0,73.839615
2009,Bihar,Rapeseed &Mustard,Rabi,89672.0,91415.0,889.3,13972691.04,15244.24,1.084211
2001,Jammu and Kashmir,Jowar,Kharif,7.0,4.0,953.8,714.91,1.82,0.55
2005,Uttarakhand,Gram,Rabi,904.0,631.0,1353.3,108407.68,189.84,0.628
2014,Kerala,Arhar/Tur,Whole Year,1476.0,1903.0,3046.4,222816.96,487.08,1.156667
2015,Telangana,Arhar/Tur,Kharif,247514.0,103903.0,747.9,39084935.74,81679.62,0.496667
2010,Jammu and Kashmir,Linseed,Rabi,170.0,192.0,1352.0,28238.7,40.8,0.98
2001,Karnataka,Horse-gram,Kharif,155207.0,81931.0,1002.9,15851290.91,40353.82,0.5225
2012,Himachal Pradesh,Groundnut,Kharif,22.0,19.0,1035.0,3317.6,6.82,0.8875
2011,Chhattisgarh,Bajra,Kharif,62.0,29.0,1302.7,10386.24,20.46,0.618
2016,Assam,Small millets,Kharif,4749.0,2927.0,2296.8,727784.25,1662.15,0.6252
2004,Uttar Pradesh,Urad,Kharif,43688.57,21580.14,1000.0,6035.82,155.84,0.493954
2008,Bihar,Safflower,Rabi,215.0,175.0,1197.7,30753.6,19.35,0.815
2003,Meghalaya,Arhar/Tur,Kharif,812.0,639.0,3321.3,80371.76,194.88,0.806667
2002,Bihar,Jowar,Kharif,4402.0,4446.0,1105.8,416737.34,1100.5,1.021
2024,Maharashtra,Mango,Whole Year,197223.57,1738028.04,1536.9,19789.97,1005.04,8.812477
2010,Andhra Pradesh,Linseed,Rabi,1129.0,258.0,1297.0,187538.19,270.96,0.15
2025,Rajasthan,Wheat,Rabi,2490216.88,11496281.53,253.2,844705.01,27444.82,4.616578
2000,Nagaland,Arhar/Tur,Kharif,4000.0,4500.0,1631.8,392680.0,1040.0,1.13125
2017,Manipur,Other  Rabi pulses,Rabi,6343.0,5942.0,1780.0,998641.92,2410.34,0.931111
2012,Himachal Pradesh,Barley,Rabi,20802.0,35916.0,1035.0,3136941.6,6448.62,1.756364
2014,Gujarat,Wheat,Rabi,1171449.0,3293487.0,605.6,176841941.0,386578.17,2.817812
2022,Andhra Pradesh,Sannhamp,Kharif,2952.44,29.52,1022.8,508783.61,937.97,0.01
2017,Andhra Pradesh,Cotton(lint),Kharif,643942.0,2083754.0,868.2,101382228.5,244697.96,2.660769
2006,Karnataka,Linseed,Rabi,12283.0,3759.0,1146.3,1568661.93,2702.26,0.325385
2022,Punjab,Moong(Green Gram),Kharif,12129.12,11372.26,499.9,1517182.13,3354.46,0.9376
2006,Chhattisgarh,Moong(Green Gram),Kharif,9516.0,2699.0,1317.2,1215288.36,2093.52,0.241111
2006,Chhattisgarh,Dry chillies,Whole Year,6246.0,2135.0,1317.2,797676.66,1374.12,0.319444
2025,Chhattisgarh,Sweet potato,Whole Year,3071.07,18895.82,1149.6,426573.04,737.62,6.152854
2017,Nagaland,Niger seed,Kharif,32840.0,36800.0,1722.1,5170329.6,12479.2,1.088182
2010,Chhattisgarh,Gram,Rabi,250496.0,239609.0,1283.1,41609890.56,60119.04,0.959412
2021,Nagaland,Linseed,Rabi,6646.1,6007.23,1645.1,949341.07,2016.34,0.903872
2017,Karnataka,Cashewnut,Whole Year,65472.0,48062.0,1111.7,10307911.68,24879.36,0.909
2007,Karnataka,Bajra,Kharif,429832.0,332790.0,1323.3,57339588.8,68773.12,0.8875
2016,Goa,Coconut,Whole Year,25913.0,132160000.0,3266.9,3971167.25,9069.55,5087.315
2019,Chhattisgarh,Sannhamp,Kharif,471.0,240.0,1420.3,80898.96,174.27,0.405714
2013,Odisha,Potato,Winter,6151.0,71342.0,1632.4,888757.99,1660.77,11.842963
2005,Haryana,Arhar/Tur,Kharif,30067.0,24400.0,516.9,3605634.64,6314.07,0.7355
2026,Andhra Pradesh,Banana,Whole Year,55278.8,5633739.78,816.0,9582907.99,17420.02,101.915022
2010,Arunachal Pradesh,Sugarcane,Whole Year,1508.0,28974.0,2574.1,250493.88,361.92,20.631111
2019,Chhattisgarh,Sesamum,Kharif,14952.0,6011.0,1420.3,2568155.52,5532.24,0.412857
2024,Chhattisgarh,Barley,Rabi,3308.08,3098.57,1218.3,435692.31,723.79,0.936667
2013,Telangana,Dry chillies,Kharif,54378.0,171985.0,1348.7,7857077.22,14682.06,2.717778
2019,Haryana,Castor seed,Kharif,6685.0,4454.0,351.8,1148215.6,2473.45,0.765
2026,Puducherry,Cotton(lint),Kharif,194.76,1.95,1575.1,31326.32,73.52,0.01
2013,Himachal Pradesh,Linseed,Rabi,1087.0,273.0,1216.9,157060.63,293.49,0.2275
2004,Tripura,Masoor,Rabi,422.0,215.0,2706.3,45719.48,88.62,0.5225
2012,Delhi,Rice,Kharif,6068.0,19768.0,451.9,915054.4,1881.08,3.26
2003,Punjab,Sunflower,Rabi,20000.0,34000.0,451.7,1979600.0,4800.0,1.78875
2021,Jammu and Kashmir,Peas & beans (Pulses),Rabi,757.28,1680.53,1234.5,102417.07,208.38,2.219178
2006,Madhya Pradesh,Rice,Kharif,1674013.0,1389269.0,1072.3,213788200.2,368282.86,0.856667
2024,Tripura,Masoor,Rabi,1446.31,1131.1,2432.4,244974.19,477.68,0.78206
2006,Punjab,Groundnut,Kharif,4400.0,3800.0,569.6,561924.0,968.0,0.837143
2002,Arunachal Pradesh,Oilseeds total,Whole Year,28494.0,29821.0,2832.8,2697526.98,7123.5,1.007333
2008,Punjab,Moong(Green Gram),Kharif,8900.0,7900.0,691.3,1273056.0,801.0,0.900769
2002,Himachal Pradesh,Coriander,Whole Year,263.0,84.0,890.8,24898.21,65.75,0.27625
2002,Puducherry,Rice,Kharif,24142.0,57514.0,1434.6,2285523.14,6035.5,2.56
2024,Assam,Urad,Rabi,46943.49,33731.47,2115.6,8056076.76,14643.82,0.718555
2018,Manipur,Soyabean,Kharif,4904.0,4415.0,1196.9,795428.8,1716.4,0.903333
2013,Assam,Moong(Green Gram),Rabi,12184.0,7807.0,1797.7,1760466.16,3289.68,0.621852
2016,West Bengal,Coconut,Whole Year,29625.0,375400000.0,1795.8,4540031.25,10368.75,12686.74
2005,Bihar,Horse-gram,Kharif,11744.0,10101.0,907.8,1408340.48,2466.24,0.8425
2016,Tripura,Sesamum,Kharif,5590.0,3276.0,2475.3,856667.5,1956.5,0.59125
2019,Rajasthan,Cotton(lint),Kharif,916642.81,523751.2,402.4,165642.2,3755.13,0.57138
2026,Kerala,Wheat,Whole Year,1.17,3.08,2661.2,224.67,0.45,2.631234
2015,Kerala,Onion,Whole Year,27.0,0.0,2602.9,4263.57,8.91,0.0
2011,Jammu and Kashmir,Wheat,Rabi,291994.0,496542.0,887.6,48914834.88,96358.02,1.423571
2005,Manipur,Rapeseed &Mustard,Rabi,250.0,120.0,1585.4,29980.0,52.5,0.595
2003,Puducherry,Other  Rabi pulses,Rabi,141.0,138.0,1434.6,13956.18,33.84,0.99
2022,Meghalaya,Peas & beans (Pulses),Rabi,1866.81,4136.82,3873.8,295776.27,680.64,2.215982
2010,Jharkhand,Potato,Rabi,18078.0,104669.0,694.6,3002936.58,4338.72,5.753333
2004,Bihar,Maize,Kharif,270973.0,443819.0,1147.8,29357214.82,56904.33,1.597838
2016,Uttar Pradesh,Lentil,Rabi,35591.54,36827.63,995.9,6223.32,380.02,1.03473
2026,Odisha,Sesamum,Autumn,14439.58,5800.15,1601.9,1918267.57,3650.69,0.401684
2025,Haryana,Jowar,Kharif,68075.49,55010.51,482.7,10462921.88,19526.91,0.808081
2015,Puducherry,Sugarcane,Kharif,1821.0,213968.0,1980.6,287554.11,600.93,117.5
2026,Puducherry,Other Cereals,Kharif,95.42,88.42,1514.3,13254.87,23.36,0.926611
2018,Tamil Nadu,Black pepper,Whole Year,5571.0,1176.0,986.2,903616.2,1949.85,0.16
2004,Maharashtra,Gram,Rabi,829900.0,466200.0,1052.0,89911366.0,174279.0,0.53871
2001,Chhattisgarh,Other  Rabi pulses,Rabi,1024.0,356.0,1550.0,104581.12,266.24,0.326154
2011,Goa,Groundnut,Kharif,357.0,1022.0,3340.4,59804.64,117.81,2.86
2025,Assam,Peas & beans (Pulses),Rabi,26134.06,24324.45,2010.7,3783223.52,7246.33,0.930757
2025,Bihar,Arhar/Tur,Kharif,29121.54,66015.43,1127.7,4106969.31,7302.85,2.266893
2025,Chhattisgarh,Dry chillies,Whole Year,6150.61,3864.23,1159.9,995274.66,1919.39,0.628267
2006,West Bengal,Peas & beans (Pulses),Rabi,12495.0,8436.0,1631.4,1595736.45,2748.9,0.679412
2014,Assam,Peas & beans (Pulses),Rabi,29952.0,27676.0,1899.0,4521553.92,9884.16,0.918889
2023,Tamil Nadu,Coconut,Whole Year,379901.37,4281055335.45,858.3,61652466.17,121309.24,11268.859812
2020,Madhya Pradesh,Soyabean,Kharif,1181406.46,1858198.68,1256.8,212172.94,3420.47,1.57287
2004,Jammu and Kashmir,Jowar,Kharif,5977.0,3586.0,1032.1,647548.18,1255.17,0.6
2026,Goa,Arecanut,Whole Year,1727.57,3531.55,3995.4,250957.75,592.85,2.044233
2025,Himachal Pradesh,Turmeric,Kharif,200.16,134.01,1133.8,31160.84,61.56,0.66951
2012,Tripura,Other Kharif pulses,Kharif,1928.0,1265.0,1882.2,290742.4,597.68,0.65625
2018,Assam,Castor seed,Kharif,724.0,336.0,2372.9,117432.8,253.4,0.62
2013,West Bengal,Rice,Autumn,210036.0,493651.0,1939.9,30348101.64,56709.72,2.252778
2021,Uttar Pradesh,Turmeric,Rabi,1477.15,2724.98,821.3,199783.79,397.4,1.844755
2026,Sikkim,Small millets,Kharif,3768.45,3978.42,2504.7,539073.58,946.4,1.055717
2001,Puducherry,Banana,Whole Year,225.0,7461.0,1434.6,22979.25,58.5,25.375
2007,Bihar,Garlic,Whole Year,2502.0,3615.0,1600.2,333766.8,400.32,1.448
2019,Kerala,Rice,Autumn,55895.0,145076.0,3119.2,9600525.2,20681.15,1.949231
2013,Meghalaya,Arecanut,Whole Year,16678.0,25114.0,2448.4,2409804.22,4503.06,1.331818
2003,Uttarakhand,Groundnut,Kharif,1273.0,1267.0,1734.3,126001.54,305.52,0.955
2021,Punjab,Maize,Kharif,141696.63,583877.03,610.5,18717172.71,31956.62,4.120613
2013,Odisha,Moong(Green Gram),Autumn,24135.0,7728.0,1632.4,3487266.15,6516.45,0.2575
2023,Jammu and Kashmir,Cowpea(Lobia),Kharif,385.97,118.56,1474.0,60573.2,93.06,0.307182
2017,Nagaland,Masoor,Rabi,2140.0,1760.0,1722.1,336921.6,813.2,0.823333
2010,Delhi,Bajra,Kharif,1531.0,2876.0,989.5,254314.41,367.44,1.88
2018,Jharkhand,Potato,Rabi,121148.9,2962418.57,1493.4,11227.84,774.53,24.452707
2019,Bihar,Jute,Kharif,48390.0,509650.0,1194.7,8311466.4,17904.3,13.32
2025,Uttar Pradesh,Groundnut,Kharif,84809.21,90951.84,822.2,13940431.8,27495.01,1.072429
2008,Maharashtra,Jowar,Kharif,847300.0,984800.0,1052.8,121197792.0,76257.0,1.185385
2025,Punjab,Groundnut,Kharif,2365.47,6457.17,475.3,362595.36,666.78,2.729762
2006,Gujarat,Rapeseed &Mustard,Rabi,347800.0,476100.0,1056.2,44417538.0,76516.0,1.238636
2018,Karnataka,Cotton(lint),Kharif,713879.0,1398294.0,1419.1,115791173.8,249857.65,1.862692
2026,Arunachal Pradesh,Rapeseed &Mustard,Rabi,29296.12,35101.48,2983.5,5185113.89,10585.19,1.198161
2010,Chhattisgarh,Sugarcane,Whole Year,7540.0,18456.0,1283.1,1252469.4,1809.6,2.692778
2000,Uttarakhand,Small millets,Kharif,73164.0,80384.0,1413.4,7182509.88,19022.64,1.115455
2008,Tripura,Cotton(lint),Kharif,969.0,1424.0,1827.8,138605.76,87.21,1.435
2004,Assam,Peas & beans (Pulses),Rabi,22238.0,13339.0,2536.9,2409264.92,4669.98,0.596522
2014,Karnataka,Soyabean,Kharif,255538.0,189081.0,1238.5,38576016.48,84327.54,0.808571
2012,Bihar,Jowar,Kharif,2631.0,2819.0,924.1,396754.8,815.61,1.084286
2018,Bihar,Sunflower,Rabi,7308.0,10355.0,1521.4,1185357.6,2557.8,1.3865
2017,Uttar Pradesh,Gram,Rabi,500762.0,578550.0,652.1,78839969.28,190289.56,1.201449
2004,Andhra Pradesh,Safflower,Rabi,19007.0,8288.0,781.8,2059218.38,3991.47,0.353636
2005,Bihar,Rice,Autumn,533233.0,503448.0,907.8,63945301.36,111978.93,0.962667
2008,Andhra Pradesh,Ginger,Whole Year,2194.0,11684.0,944.6,313829.76,197.46,4.525556
2026,Meghalaya,Arhar/Tur,Kharif,923.44,1208.17,3857.3,159082.61,287.15,1.308337
2024,Puducherry,Banana,Kharif,255.52,4484.6,1591.7,40792.84,74.68,17.550913
2010,Rajasthan,Sesamum,Kharif,31677.97,19669.09,313.0,5206.17,117.57,0.620907
2009,Kerala,Cotton(lint),Kharif,1018.0,1324.0,2821.5,158624.76,173.06,1.3
2012,Bihar,Sunflower,Rabi,15764.0,22235.0,924.1,2377211.2,4886.84,1.449565
2014,Maharashtra,Soyabean,Kharif,3640200.0,1821600.0,1001.6,549524592.0,1201266.0,0.758571
2019,Meghalaya,Masoor,Rabi,1260.0,1400.0,3844.4,216417.6,466.2,1.322857
2023,Madhya Pradesh,Masoor,Rabi,480181.63,533308.08,967.9,88776133.09,135126.78,1.110638
2008,Tamil Nadu,Black pepper,Whole Year,3122.0,716.0,1201.9,446570.88,280.98,0.155
2019,Tripura,other oilseeds,Rabi,93.0,74.0,2252.8,15973.68,34.41,0.756667
2000,Puducherry,Groundnut,Kharif,1175.0,2158.0,1434.6,115349.75,305.5,1.62
2009,Himachal Pradesh,Soyabean,Kharif,550.0,430.0,969.9,85701.0,93.5,0.774286
2024,Gujarat,Arhar/Tur,Kharif,284525.27,387404.88,776.8,39605986.14,76413.74,1.361583
2000,Chhattisgarh,Horse-gram,Kharif,61595.0,18258.0,896.4,6046781.15,16014.7,0.276875
2023,Kerala,Tapioca,Whole Year,83988.33,3721980.8,2593.0,11183984.49,21941.7,44.315453
2008,Andhra Pradesh,Sesamum,Kharif,46041.0,9634.0,944.6,6585704.64,4143.69,0.2495
2021,Bihar,Other  Rabi pulses,Rabi,2376.57,2446.63,1350.7,326331.99,640.41,1.02948
2010,Maharashtra,Mango,Whole Year,241844.75,1626327.77,2331.0,43186.85,1756.94,6.724677
2013,Kerala,Sugarcane,Whole Year,2210.29,221520.0,3255.4,319364.8,596.78,59.561818
2019,Haryana,Garlic,Whole Year,3096.0,41622.0,351.8,531768.96,1145.52,11.068
2025,Jammu and Kashmir,Rice,Kharif,244907.64,504559.31,975.6,41465488.63,81034.91,2.060202
2016,West Bengal,Ragi,Autumn,9915.0,10989.0,1795.8,1519473.75,3470.25,0.815
2022,Jammu and Kashmir,Ragi,Kharif,2610.88,1505.65,1156.8,419081.26,1015.91,0.576683
2018,Punjab,Bajra,Kharif,1100.0,700.0,585.5,178420.0,385.0,0.8
2012,Nagaland,Rice,Kharif,179780.0,396230.0,1296.6,27110824.0,55731.8,2.15
2015,Maharashtra,Bajra,Kharif,800600.0,332900.0,875.7,126422746.0,264198.0,0.296
2001,Odisha,Bajra,Kharif,4010.0,2270.0,1672.5,409541.3,1042.6,0.555
2009,Himachal Pradesh,Sesamum,Kharif,2773.0,233.0,969.9,432088.86,471.41,0.084444
2008,Jharkhand,Potato,Rabi,16032.93,107587.0,1295.2,2293350.31,1442.96,5.73375
2003,Karnataka,Maize,Kharif,545546.0,1066107.0,867.6,53998143.08,130931.04,2.3356
2012,Chhattisgarh,Other  Rabi pulses,Rabi,2467.0,394.0,1366.8,372023.6,764.77,0.1988
2014,Haryana,Onion,Whole Year,28688.0,640215.0,301.3,4330740.48,9467.04,22.560476
2023,Himachal Pradesh,Tobacco,Kharif,14.65,18.55,936.7,1436.75,3.59,1.266156
2018,Jammu and Kashmir,Linseed,Rabi,151.0,169.0,1016.3,24492.2,52.85,1.12
2018,Karnataka,Coconut,Whole Year,610234.0,4321762000.0,1419.1,98979954.8,213581.9,7502.488
2016,Meghalaya,Arhar/Tur,Kharif,1173.0,1517.0,3837.1,179762.25,410.55,1.118
2023,Haryana,Urad,Kharif,2203.5,1866.27,448.2,311788.99,516.68,0.846959
2013,Gujarat,Maize,Kharif,333135.0,421915.0,1006.5,48134676.15,89946.45,1.345
2024,Kerala,Tapioca,Whole Year,77428.01,3247388.15,2809.5,12385437.15,22038.54,41.940744
2015,Bihar,Groundnut,Kharif,492.0,501.0,874.0,77691.72,162.36,1.0075
2014,Uttar Pradesh,Rice,Kharif,5842029.0,13241518.0,616.4,881912697.8,1927869.57,2.240533
2006,Himachal Pradesh,Linseed,Rabi,1472.0,359.0,1207.0,187989.12,323.84,0.223333
2026,Maharashtra,Moong(Green Gram),Kharif,513824.51,163798.53,1075.1,72979712.96,141932.09,0.318783
2004,Maharashtra,Castor seed,Kharif,12300.0,3500.0,1052.0,1332582.0,2583.0,0.253182
2010,Madhya Pradesh,Potato,Whole Year,76482.0,655527.0,856.3,12704425.02,18355.68,9.318163
2007,Nagaland,Linseed,Rabi,9600.0,7360.0,1769.0,1280640.0,1536.0,0.7475
2002,West Bengal,Jute,Kharif,636066.0,8505522.0,1629.1,60216368.22,159016.5,14.352353
2026,Kerala,Turmeric,Whole Year,2960.52,8772.74,3187.9,472457.7,849.62,2.96324
2019,Madhya Pradesh,Garlic,Whole Year,183713.76,1869431.0,1446.7,31554675.42,67974.09,10.3632
2003,Uttar Pradesh,Rice,Kharif,5719933.0,12476923.0,1075.6,566158968.3,1372783.92,2.066286
2000,Maharashtra,Sesamum,Kharif,131600.0,28310.0,1057.8,12919172.0,34216.0,0.229688
2004,Gujarat,Potato,Whole Year,39300.0,1086400.0,719.8,4257762.0,8253.0,26.096667
2006,Jharkhand,Gram,Rabi,14224.57,10445.0,1465.1,1816619.84,3129.41,0.758636
2021,Himachal Pradesh,Sesamum,Kharif,2392.92,1082.47,1056.0,360534.84,638.37,0.452366
2004,Uttarakhand,Other Cereals,Kharif,75993.0,88540.0,1219.6,8233081.62,15958.53,1.117273
2009,Jammu and Kashmir,Sugarcane,Kharif,1.0,2.0,751.7,155.82,0.17,1.5
2023,Meghalaya,Other  Rabi pulses,Rabi,1821.07,1429.42,4445.6,228232.39,405.84,0.784933
2026,Odisha,Sugarcane,Winter,11449.84,773602.71,1376.8,2108758.15,3354.38,67.564502
2003,Maharashtra,Turmeric,Kharif,30301.93,146818.67,1457.7,4397.65,253.17,4.845191
2001,Meghalaya,Tobacco,Whole Year,728.0,480.0,4241.0,74350.64,189.28,0.562
2019,Himachal Pradesh,Garlic,Rabi,3943.0,2575.0,1217.7,677249.68,1458.91,0.672
2020,Uttarakhand,Other Cereals,Kharif,623.0,350.0,1313.9,120619.03,230.51,0.558571
2007,Maharashtra,Turmeric,Kharif,45893.25,235598.75,1724.7,9866.14,113.58,5.133625
2017,Madhya Pradesh,Mustard,Rabi,902726.22,1393677.37,1259.9,218985.82,2299.7,1.543854
2013,Uttarakhand,Moth,Kharif,27.0,11.0,1735.4,3901.23,7.29,0.26
2008,Gujarat,Rapeseed &Mustard,Rabi,293900.0,334300.0,746.1,42039456.0,26451.0,1.115
2017,Madhya Pradesh,Masoor,Rabi,596010.0,679180.0,800.0,93835814.4,226483.8,1.008889
2021,Punjab,Potato,Rabi,189850.74,4618128.97,643.4,37264.68,1694.92,24.325052
2023,Kerala,Small millets,Whole Year,131.94,99.81,2657.9,18000.71,40.95,0.756529
2018,Maharashtra,Other Kharif pulses,Kharif,87264.0,41185.0,1387.4,14154220.8,30542.4,0.395357
2003,Chhattisgarh,Garlic,Whole Year,910.0,2576.0,1643.7,90071.8,218.4,3.008571
2022,Nagaland,Other Kharif pulses,Kharif,7498.92,9575.54,1589.5,1091003.92,2446.83,1.276922
2019,Jammu and Kashmir,Garlic,Rabi,662.0,535.0,1324.1,113705.12,244.94,0.805556
2015,Meghalaya,Castor seed,Rabi,72.0,65.0,3870.8,11369.52,23.76,1.004
2024,Odisha,Dry chillies,Whole Year,65399.33,73831.69,1268.4,7668266.79,19408.84,1.128937
2023,Chhattisgarh,Gram,Rabi,250353.75,244447.76,1374.2,40290274.47,79261.64,0.976409
2010,West Bengal,Niger seed,Kharif,3714.0,2529.0,1096.0,616932.54,891.36,0.555
2005,Punjab,Barley,Rabi,19000.0,63000.0,566.7,2278480.0,3990.0,3.23125
2017,Tamil Nadu,Rice,Autumn,235255.0,906616.0,970.9,37038547.2,89396.9,3.967857
2004,Tamil Nadu,Urad,Kharif,226364.0,82998.0,1034.0,24524275.76,47536.44,0.4075
2007,Meghalaya,Maize,Kharif,17048.0,25138.0,4702.0,2274203.2,2727.68,1.504286
2003,Assam,Tapioca,Whole Year,2873.0,13613.0,2213.7,284369.54,689.52,4.383636
2009,Tripura,Rice,Kharif,245538.0,640010.0,2004.2,38259731.16,41741.46,2.5225
2026,Assam,Other  Rabi pulses,Rabi,56759.0,39477.21,2224.3,6790740.41,15523.89,0.695523
2002,Manipur,Other Kharif pulses,Kharif,1280.0,650.0,1743.7,121177.6,320.0,0.5175
2023,Kerala,Wheat,Whole Year,1.12,2.54,2650.7,203.55,0.44,2.26002
2012,Maharashtra,Linseed,Rabi,27200.0,7590.0,1003.4,4101760.0,8432.0,0.243636
2003,Jharkhand,Gram,Rabi,15155.21,12862.0,1258.3,1500062.69,3637.25,0.9075
2000,Manipur,Onion,Whole Year,350.0,740.0,1969.7,34359.5,91.0,2.1
2007,Maharashtra,Other  Rabi pulses,Rabi,142200.0,70300.0,1257.2,18969480.0,22752.0,0.580357
2015,Uttarakhand,Moong(Green Gram),Kharif,3.0,2.0,1247.6,473.73,0.99,0.75
2002,Bihar,Potato,Whole Year,147819.0,1476602.0,1105.8,13994024.73,36954.75,10.271351
2026,Jammu and Kashmir,Cotton(lint),Kharif,31.05,17.73,1555.2,3934.69,6.69,0.57115
2005,Uttar Pradesh,Arhar/Tur,Kharif,385652.2,355725.65,1012.5,33019.43,1633.99,0.9224
2023,Karnataka,Maize,Kharif,353580.37,1257511.51,1125.6,58627600.06,99062.54,3.556508
2000,Andhra Pradesh,Niger seed,Kharif,18452.0,6001.0,935.6,1811432.84,4797.52,0.36
2004,Andhra Pradesh,Dry chillies,Kharif,186120.0,599570.0,781.8,20164240.8,39085.2,2.911364
2024,Puducherry,Sesamum,Kharif,56.1,56.58,1379.0,9146.39,15.08,1.008581
2006,Himachal Pradesh,Rice,Kharif,79206.0,123485.0,1207.0,10115398.26,17425.32,1.750909
2000,Delhi,Maize,Kharif,55.0,90.0,544.3,5399.35,14.3,1.64
2023,Chhattisgarh,Other  Rabi pulses,Rabi,2227.52,543.3,1329.8,341730.06,666.77,0.243906
2010,Nagaland,Moong(Green Gram),Kharif,200.0,190.0,1771.8,33222.0,48.0,0.98625
2007,West Bengal,Bajra,Kharif,64.0,23.0,2007.5,8537.6,10.24,0.36
2025,Rajasthan,Gram,Rabi,928753.32,1135511.33,425.0,323976.83,6678.98,1.222619
2006,Odisha,Sesamum,Autumn,3320.0,612.0,1716.9,423997.2,730.4,0.184706
2008,Nagaland,Arhar/Tur,Kharif,3160.0,3030.0,1540.9,452006.4,284.4,0.951818
